Fecha,Cod_Maq,Chofer,Modelo,Año,Litros,Km,Pasajeros
2024-01-01,BUS001,Pedro Torres,Hyundai County,2020,49.35,202,34
2024-01-01,BUS002,Ana Diaz,Renault Master,2022,50.75,206,40
2024-01-01,BUS003,Maria Soto,Hyundai County,2022,59.56,202,42
2024-01-01,BUS004,Pedro Torres,Iveco Daily,2020,50.9,174,72
2024-01-01,BUS005,Pedro Torres,Mercedes Sprinter,2019,71.44,199,22
2024-01-01,BUS006,Ana Diaz,Renault Master,2021,95.3,249,43
2024-01-01,BUS007,Pedro Torres,Mercedes Sprinter,2021,87.87,257,79
2024-01-01,BUS008,Maria Soto,Iveco Daily,2018,32.13,120,77
2024-01-01,BUS009,Luis Rojas,Hyundai County,2019,48.13,121,44
2024-01-01,BUS010,Maria Soto,Volkswagen Crafter,2018,41.7,148,61
2024-01-02,BUS001,Ana Diaz,Volkswagen Crafter,2020,88.78,287,66
2024-01-02,BUS002,Luis Rojas,Hyundai County,2018,99.68,289,74
2024-01-02,BUS003,Juan Perez,Hyundai County,2018,47.47,163,56
2024-01-02,BUS004,Ana Diaz,Hyundai County,2020,38.85,150,28
2024-01-02,BUS005,Luis Rojas,Iveco Daily,2019,105.28,266,44
2024-01-02,BUS006,Pedro Torres,Volkswagen Crafter,2019,43.84,159,77
2024-01-02,BUS007,Maria Soto,Mercedes Sprinter,2019,42.66,108,21
2024-01-02,BUS008,Luis Rojas,Renault Master,2021,61.37,183,79
2024-01-02,BUS009,Maria Soto,Renault Master,2020,80.11,298,27
2024-01-02,BUS010,Pedro Torres,Renault Master,2021,96.25,274,36
2024-01-03,BUS001,Pedro Torres,Hyundai County,2020,91.81,263,23
2024-01-03,BUS002,Pedro Torres,Hyundai County,2018,30.15,101,73
2024-01-03,BUS003,Pedro Torres,Mercedes Sprinter,2022,56.39,205,48
2024-01-03,BUS004,Ana Diaz,Hyundai County,2018,69.3,290,63
2024-01-03,BUS005,Juan Perez,Hyundai County,2021,79.32,261,55
2024-01-03,BUS006,Luis Rojas,Mercedes Sprinter,2020,28.57,113,34
2024-01-03,BUS007,Juan Perez,Mercedes Sprinter,2021,82.12,299,79
2024-01-03,BUS008,Maria Soto,Volkswagen Crafter,2020,91.73,289,35
2024-01-03,BUS009,Juan Perez,Hyundai County,2022,50.57,181,43
2024-01-03,BUS010,Luis Rojas,Renault Master,2022,57.1,253,79
2024-01-04,BUS001,Ana Diaz,Volkswagen Crafter,2021,73.07,223,48
2024-01-04,BUS002,Maria Soto,Hyundai County,2021,40.28,114,44
2024-01-04,BUS003,Luis Rojas,Renault Master,2019,50.79,170,20
2024-01-04,BUS004,Ana Diaz,Mercedes Sprinter,2019,93.59,235,30
2024-01-04,BUS005,Juan Perez,Iveco Daily,2020,45.89,180,54
2024-01-04,BUS006,Juan Perez,Hyundai County,2021,35.56,132,61
2024-01-04,BUS007,Maria Soto,Hyundai County,2022,32.33,140,28
2024-01-04,BUS008,Ana Diaz,Iveco Daily,2019,50.31,171,52
2024-01-04,BUS009,Juan Perez,Mercedes Sprinter,2018,45.35,147,43
2024-01-04,BUS010,Luis Rojas,Iveco Daily,2021,34.35,136,59
2024-01-05,BUS001,Juan Perez,Mercedes Sprinter,2018,38.9,134,56
2024-01-05,BUS002,Pedro Torres,Iveco Daily,2020,69.78,274,20
2024-01-05,BUS003,Pedro Torres,Iveco Daily,2018,28.71,104,33
2024-01-05,BUS004,Pedro Torres,Iveco Daily,2022,78.27,202,34
2024-01-05,BUS005,Ana Diaz,Renault Master,2020,41.88,114,79
2024-01-05,BUS006,Ana Diaz,Iveco Daily,2021,108.47,278,58
2024-01-05,BUS007,Maria Soto,Iveco Daily,2019,41.64,151,23
2024-01-05,BUS008,Ana Diaz,Iveco Daily,2020,67.41,250,34
2024-01-05,BUS009,Maria Soto,Iveco Daily,2022,92.91,270,32
2024-01-05,BUS010,Juan Perez,Iveco Daily,2020,70.04,259,70
2024-01-06,BUS001,Pedro Torres,Renault Master,2020,43.42,185,61
2024-01-06,BUS002,Luis Rojas,Iveco Daily,2022,46.58,144,72
2024-01-06,BUS003,Maria Soto,Volkswagen Crafter,2021,68.27,233,63
2024-01-06,BUS004,Juan Perez,Hyundai County,2019,42.9,143,30
2024-01-06,BUS005,Juan Perez,Volkswagen Crafter,2018,55.17,227,47
2024-01-06,BUS006,Luis Rojas,Mercedes Sprinter,2019,106.25,289,76
2024-01-06,BUS007,Maria Soto,Volkswagen Crafter,2021,37.56,126,71
2024-01-06,BUS008,Juan Perez,Mercedes Sprinter,2022,40.57,102,27
2024-01-06,BUS009,Luis Rojas,Mercedes Sprinter,2019,76.17,254,56
2024-01-06,BUS010,Juan Perez,Renault Master,2018,49.36,150,43
2024-01-07,BUS001,Luis Rojas,Renault Master,2019,50.22,158,51
2024-01-07,BUS002,Ana Diaz,Hyundai County,2020,86.45,279,68
2024-01-07,BUS003,Ana Diaz,Volkswagen Crafter,2022,64.41,285,58
2024-01-07,BUS004,Luis Rojas,Iveco Daily,2021,58.35,229,56
2024-01-07,BUS005,Juan Perez,Mercedes Sprinter,2018,47.16,212,78
2024-01-07,BUS006,Luis Rojas,Renault Master,2021,47.61,212,47
2024-01-07,BUS007,Ana Diaz,Iveco Daily,2019,59.62,153,51
2024-01-07,BUS008,Ana Diaz,Renault Master,2018,76.53,228,21
2024-01-07,BUS009,Ana Diaz,Volkswagen Crafter,2022,43.69,152,51
2024-01-07,BUS010,Ana Diaz,Hyundai County,2022,99.53,297,23
2024-01-08,BUS001,Juan Perez,Volkswagen Crafter,2018,70.09,282,78
2024-01-08,BUS002,Maria Soto,Renault Master,2018,61.67,244,43
2024-01-08,BUS003,Pedro Torres,Renault Master,2020,44.63,168,25
2024-01-08,BUS004,Maria Soto,Iveco Daily,2021,57.59,238,35
2024-01-08,BUS005,Ana Diaz,Mercedes Sprinter,2022,69.96,196,78
2024-01-08,BUS006,Pedro Torres,Iveco Daily,2019,43.43,169,22
2024-01-08,BUS007,Maria Soto,Mercedes Sprinter,2021,78.36,247,55
2024-01-08,BUS008,Ana Diaz,Iveco Daily,2022,62.72,246,38
2024-01-08,BUS009,Ana Diaz,Iveco Daily,2021,65.17,247,71
2024-01-08,BUS010,Maria Soto,Volkswagen Crafter,2021,78.9,260,58
2024-01-09,BUS001,Pedro Torres,Hyundai County,2022,43.35,181,30
2024-01-09,BUS002,Maria Soto,Mercedes Sprinter,2021,104.15,284,42
2024-01-09,BUS003,Pedro Torres,Renault Master,2022,60.64,258,54
2024-01-09,BUS004,Maria Soto,Renault Master,2018,27.75,106,45
2024-01-09,BUS005,Luis Rojas,Hyundai County,2022,58.44,211,79
2024-01-09,BUS006,Juan Perez,Volkswagen Crafter,2019,71.05,212,67
2024-01-09,BUS007,Maria Soto,Volkswagen Crafter,2022,66.08,239,51
2024-01-09,BUS008,Pedro Torres,Iveco Daily,2020,35.32,108,38
2024-01-09,BUS009,Maria Soto,Iveco Daily,2022,35.06,147,39
2024-01-09,BUS010,Luis Rojas,Mercedes Sprinter,2020,75.85,251,52
2024-01-10,BUS001,Juan Perez,Renault Master,2020,59.74,251,68
2024-01-10,BUS002,Pedro Torres,Mercedes Sprinter,2020,73.45,299,59
2024-01-10,BUS003,Pedro Torres,Iveco Daily,2020,49.98,183,67
2024-01-10,BUS004,Pedro Torres,Iveco Daily,2020,44.52,198,37
2024-01-10,BUS005,Pedro Torres,Mercedes Sprinter,2020,72.97,227,21
2024-01-10,BUS006,Maria Soto,Renault Master,2020,45.04,153,60
2024-01-10,BUS007,Maria Soto,Mercedes Sprinter,2022,102.52,260,33
2024-01-10,BUS008,Ana Diaz,Mercedes Sprinter,2019,41.99,120,75
2024-01-10,BUS009,Luis Rojas,Hyundai County,2022,56.92,227,22
2024-01-10,BUS010,Ana Diaz,Volkswagen Crafter,2022,78.3,244,67
2024-01-11,BUS001,Ana Diaz,Hyundai County,2022,88.4,286,74
2024-01-11,BUS002,Maria Soto,Mercedes Sprinter,2019,40.5,121,57
2024-01-11,BUS003,Pedro Torres,Iveco Daily,2019,59.88,208,27
2024-01-11,BUS004,Juan Perez,Hyundai County,2021,37.4,126,40
2024-01-11,BUS005,Ana Diaz,Iveco Daily,2020,34.04,129,66
2024-01-11,BUS006,Pedro Torres,Iveco Daily,2021,68.82,291,79
2024-01-11,BUS007,Pedro Torres,Iveco Daily,2018,45.74,160,23
2024-01-11,BUS008,Juan Perez,Renault Master,2020,33.19,134,36
2024-01-11,BUS009,Luis Rojas,Iveco Daily,2020,61.86,271,48
2024-01-11,BUS010,Juan Perez,Mercedes Sprinter,2019,33.49,145,54
2024-01-12,BUS001,Luis Rojas,Iveco Daily,2022,88.11,223,43
2024-01-12,BUS002,Juan Perez,Hyundai County,2022,57.2,192,72
2024-01-12,BUS003,Luis Rojas,Mercedes Sprinter,2022,43.82,194,52
2024-01-12,BUS004,Ana Diaz,Mercedes Sprinter,2018,69.6,215,40
2024-01-12,BUS005,Ana Diaz,Hyundai County,2020,61.63,259,22
